"","geneName","name","intensity","time"
"1","artI","JH01_A01",728.082163989894,0
"2","artI","JH01_A02",506.983054065019,30
"3","artI","JH01_A03",812.190428343037,60
"4","artI","JH01_A04",1530.44767754817,90
"5","artI","JH01_A05",4621.14620420631,120
"6","artI","JH01_A06",4941.92098440618,150
"7","artI","JH01_B01",594.812613222036,0
"8","artI","JH01_B02",732.687241137458,30
"9","artI","JH01_B03",1063.78608712793,60
"10","artI","JH01_B04",2343.55659548554,90
"11","artI","JH01_B05",5241.02476896292,120
"12","artI","JH01_B06",6230.08467795238,150
"13","artI","JH01_C01",448.184578185729,0
"14","artI","JH01_C02",1223.27628756541,30
"15","artI","JH01_C03",1679.26642247019,60
"16","artI","JH01_C04",3207.1573061153,90
"17","artI","JH01_C05",4439.89600717274,120
"18","artI","JH01_C06",4836.0535133846,150
"19","cbdA","JH01_A01",69.8160979168391,0
"20","cbdA","JH01_A02",50.3387429568104,30
"21","cbdA","JH01_A03",85.7137903785444,60
"22","cbdA","JH01_A04",91.5742420541201,90
"23","cbdA","JH01_A05",186.698359017417,120
"24","cbdA","JH01_A06",420.327906170198,150
"25","cbdA","JH01_B01",67.6884908360781,0
"26","cbdA","JH01_B02",58.8427577079306,30
"27","cbdA","JH01_B03",52.0330151312573,60
"28","cbdA","JH01_B04",88.1426153169341,90
"29","cbdA","JH01_B05",236.116598577443,120
"30","cbdA","JH01_B06",707.842140226994,150
"31","cbdA","JH01_C01",69.846947249724,0
"32","cbdA","JH01_C02",68.410711816454,30
"33","cbdA","JH01_C03",65.219215796243,60
"34","cbdA","JH01_C04",159.04923238111,90
"35","cbdA","JH01_C05",446.571818716656,120
"36","cbdA","JH01_C06",816.620370033461,150
"37","cbdB","JH01_A01",42.3883451637952,0
"38","cbdB","JH01_A02",48.5409307083529,30
"39","cbdB","JH01_A03",61.6721174674893,60
"40","cbdB","JH01_A04",69.4701146617463,90
"41","cbdB","JH01_A05",159.200151100123,120
"42","cbdB","JH01_A06",385.81192847374,150
"43","cbdB","JH01_B01",52.4585803979605,0
"44","cbdB","JH01_B02",56.9446042334812,30
"45","cbdB","JH01_B03",37.0012552044496,60
"46","cbdB","JH01_B04",76.7359239229779,90
"47","cbdB","JH01_B05",230.388702655079,120
"48","cbdB","JH01_B06",644.306372899413,150
"49","cbdB","JH01_C01",24.7374604842772,0
"50","cbdB","JH01_C02",69.5702154065634,30
"51","cbdB","JH01_C03",65.7327529284969,60
"52","cbdB","JH01_C04",185.221890874205,90
"53","cbdB","JH01_C05",356.953664620457,120
"54","cbdB","JH01_C06",679.594240146491,150
"55","ycgB","JH01_A01",39.8949130953367,0
"56","ycgB","JH01_A02",41.3496817145228,30
"57","ycgB","JH01_A03",357.489223286124,60
"58","ycgB","JH01_A04",848.377460869205,90
"59","ycgB","JH01_A05",4318.66591711607,120
"60","ycgB","JH01_A06",6884.78701785346,150
"61","ycgB","JH01_B01",26.2292901989803,0
"62","ycgB","JH01_B02",96.8058271969181,30
"63","ycgB","JH01_B03",447.483930128813,60
"64","ycgB","JH01_B04",3032.10596690253,90
"65","ycgB","JH01_B05",7436.71820586905,120
"66","ycgB","JH01_B06",7829.21730069023,150
"67","ycgB","JH01_C01",65.4815130466162,0
"68","ycgB","JH01_C02",146.097452353783,30
"69","ycgB","JH01_C03",297.337999574998,60
"70","ycgB","JH01_C04",3253.46277883385,90
"71","ycgB","JH01_C05",4951.78275175612,120
"72","ycgB","JH01_C06",7451.31485097481,150
"73","ydcS","JH01_A01",21.1941725818976,0
"74","ydcS","JH01_A02",68.3168654413855,30
"75","ydcS","JH01_A03",245.64317974339,60
"76","ydcS","JH01_A04",368.40212320623,90
"77","ydcS","JH01_A05",4221.69855235509,120
"78","ydcS","JH01_A06",5568.57773502854,150
"79","ydcS","JH01_B01",44.8436251789017,0
"80","ydcS","JH01_B02",68.3335250801775,30
"81","ydcS","JH01_B03",165.349359194884,60
"82","ydcS","JH01_B04",2932.55666019164,90
"83","ydcS","JH01_B05",4941.90131523947,120
"84","ydcS","JH01_B06",5161.60994289419,150
"85","ydcS","JH01_C01",27.6477499530157,0
"86","ydcS","JH01_C02",54.4966687351413,30
"87","ydcS","JH01_C03",185.900441875905,60
"88","ydcS","JH01_C04",3750.74329020264,90
"89","ydcS","JH01_C05",4670.77667535278,120
"90","ydcS","JH01_C06",5982.09023607563,150
"91","ydcT","JH01_A01",33.6613329241903,0
"92","ydcT","JH01_A02",30.5628082237777,30
"93","ydcT","JH01_A03",61.6721174674893,60
"94","ydcT","JH01_A04",127.361876879868,90
"95","ydcT","JH01_A05",1541.34691746938,120
"96","ydcT","JH01_A06",2646.99197845503,150
"97","ydcT","JH01_B01",21.1526533862744,0
"98","ydcT","JH01_B02",37.9630694889875,30
"99","ydcT","JH01_B03",54.3455935815354,60
"100","ydcT","JH01_B04",1126.15153216695,90
"101","ydcT","JH01_B05",2144.77880648513,120
"102","ydcT","JH01_B06",1972.29339704209,150
"103","ydcT","JH01_C01",2.9102894687385,0
"104","ydcT","JH01_C02",33.6256041131723,30
"105","ydcT","JH01_C03",51.8672503576421,60
"106","ydcT","JH01_C04",1727.39546054421,90
"107","ydcT","JH01_C05",1839.45058661861,120
"108","ydcT","JH01_C06",2279.61652448324,150
"109","ydcU","JH01_A01",49.8686413691708,0
"110","ydcU","JH01_A02",17.9781224845751,30
"111","ydcU","JH01_A03",112.891333669302,60
"112","ydcU","JH01_A04",152.623736756867,90
"113","ydcU","JH01_A05",1489.24504983661,120
"114","ydcU","JH01_A06",2382.36948278218,150
